,Brand,Product Name,Price(₹),Availability,Expected Delivery,Return Policy,Exchange,Product Url
30,Cosco,Cosco Dribble Basket Balls (Orange),570,Available," Monday, August 8",10 Days Replacement,Not Applicable,https://www.amazon.in/Cosco-13013-Dribble-Basket-Orange/dp/B00ID6OR0M/ref=sr_1_29?crid=3W37RA71F8QY4&keywords=basketball&qid=1659373203&sprefix=basketball%2Caps%2C1192&sr=8-29
31,Cosco,"Cosco Premier Basketball (Red, Size: 3)",260,Available," Sunday, August 7",10 Days Replacement,Not Applicable,https://www.amazon.in/Cosco-Premier-Basketball-Red-Size/dp/B08J8Z8N78/ref=sr_1_30?crid=3W37RA71F8QY4&keywords=basketball&qid=1659373203&sprefix=basketball%2Caps%2C1192&sr=8-30
32,Spalding,"Spalding Marble Rubber Basketball (Black), Size: 7","1,092",Available," Monday, August 8",10 Days Replacement,Not Applicable,https://www.amazon.in/Spalding-Marble-Rubber-Basketball-Black/dp/B099DNXNM8/ref=sr_1_31?crid=3W37RA71F8QY4&keywords=basketball&qid=1659373203&sprefix=basketball%2Caps%2C1192&sr=8-31
33,Mayor,"Mayor Rapid Basketball Size 7, PU Pasted & Rubber Basket Ball for Indoor Outdoor Training Learner Basketballs (Brown)",499,Available," Monday, August 8",10 Days Returnable,Not Applicable,https://www.amazon.in/Mayor-Rapid-Outdoor-Rubber-Basketball/dp/B07HKQGY34/ref=sr_1_32?crid=3W37RA71F8QY4&keywords=basketball&qid=1659373203&sprefix=basketball%2Caps%2C1192&sr=8-32
34,ROXON,"ROXON Basketball Size 6,with PIN PU Pasted & Rubber Basket Ball for Indoor Outdoor Training Learner Basketballs",399,Available," Monday, August 8",10 Days Returnable,Not Applicable,https://www.amazon.in/Basketball-Outdoor-Training-Learner-Basketballs/dp/B0B4K6L1QJ/ref=sr_1_33?crid=3W37RA71F8QY4&keywords=basketball&qid=1659373203&sprefix=basketball%2Caps%2C1192&sr=8-33
35,NIVIA,NIVIA Europa Basketball Basketball - Size: 3,210,Available," Saturday, August 13",10 Days Returnable,Not Applicable,https://www.amazon.in/NIVIA-Europa-Basketball-Size/dp/B09BP1HHZB/ref=sr_1_34?crid=3W37RA71F8QY4&keywords=basketball&qid=1659373203&sprefix=basketball%2Caps%2C1192&sr=8-34
36,Aivin,Aivin Onset Basketball (Yellow-Blue) Size-5,419,Available," Sunday, August 7",10 Days Returnable,Not Applicable,https://www.amazon.in/Aivin-Onset-Basketball-Yellow-Blue-Size-5/dp/B0B71H8L9L/ref=sr_1_35?crid=3W37RA71F8QY4&keywords=basketball&qid=1659373203&sprefix=basketball%2Caps%2C1192&sr=8-35
37,Sixer,Sixer Orange Best Grip Basketball 5 Number Size,429,Available," Monday, August 8",10 Days Replacement,Not Applicable,https://www.amazon.in/Sixer-Best-Basketball-Number-Orange/dp/B07T2C8SBV/ref=sr_1_36?crid=3W37RA71F8QY4&keywords=basketball&qid=1659373203&sprefix=basketball%2Caps%2C1192&sr=8-36
38,JJ,JJ JONEX Basketball Esquire Orange Size NO.5 (MYC),289,Available," Monday, August 8",10 Days Returnable,Not Applicable,https://www.amazon.in/JJ-JONEX-Basketball-Esquire-Orange/dp/B09LQKLKSN/ref=sr_1_37?crid=3W37RA71F8QY4&keywords=basketball&qid=1659373203&sprefix=basketball%2Caps%2C1192&sr=8-37
39,Cosco,Cosco Dribble Basketball,550,Available," Monday, August 8",10 Days Replacement,Not Applicable,https://www.amazon.in/Cosco-DRIBBLE-Dribble-Basketball/dp/B00GKEEP4C/ref=sr_1_38?crid=3W37RA71F8QY4&keywords=basketball&qid=1659373203&sprefix=basketball%2Caps%2C1192&sr=8-38
