,Brand,Product Name,Price(₹),Availability,Expected Delivery,Return Policy,Exchange,Product Url
52,Samsung,"Samsung 253 L 1 Star with Inverter Double Door Refrigerator (RT28A3021S8/HL, Elegant Inox)","20,390",Available," Wed, 3 Aug, 7:00 am - 9:00 pm","10 days, Replacement Only","Yes, Upto Rs.1,500.00 off",https://www.amazon.in/Samsung-Inverter-Refrigerator-RT28A3021S8-HL/dp/B08SC9GVVR/ref=sr_1_41?crid=1MOS9MN9NX5UF&keywords=refrigerator&qid=1659372811&sprefix=%2Caps%2C395&sr=8-41
53,Samsung,"Samsung 198 L 5 Star Inverter Direct-Cool Single Door Refrigerator (RR21T2H2W9U/HL, Paradise Blue, Base Stand with Drawer)","19,100",Available," Tue, 9 Aug, 7:00 am - 9:00 pm","10 days, Replacement Only","Yes, Upto Rs.1,500.00 off",https://www.amazon.in/Samsung-Direct-Cool-Refrigerator-RR21T2H2W9U-HL/dp/B0844664FM/ref=sr_1_42?crid=1MOS9MN9NX5UF&keywords=refrigerator&qid=1659372811&sprefix=%2Caps%2C395&sr=8-42
54,Samsung,"Samsung 225 L 4 Star Inverter Direct Cool Single Door Refrigerator(RR23A2F3X9U/HL, Paradise Blue, Base Stand with Drawer, Digi-Touch Cool)","20,490",Available," Wed, 3 Aug, 7:00 am - 9:00 pm","10 days, Replacement Only","Yes, Upto Rs.1,500.00 off",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg3_1?ie=UTF8&adId=A01269331SO2PU6TR9Y1C&url=%2FSamsung-Refrigerator-RR23A2F3X9U-HL-Digi-Touch%2Fdp%2FB08SM5GCD8%2Fref%3Dsr_1_43_sspa%3Fcrid%3D1MOS9MN9NX5UF%26keywords%3Drefrigerator%26qid%3D1659372811%26sprefix%3D%252Caps%252C395%26sr%3D8-43-spons%26psc%3D1&qualifier=1659372811&id=7151723078530380&widgetName=sp_mtf
55,Samsung,"Samsung 198 L 5 Star Inverter Direct-Cool Single Door Refrigerator (RR21T2H2WCB/HL, Camellia Black, Base Stand with Drawer)","18,000",Available," Wed, 3 Aug, 7:00 am - 9:00 pm","10 days, Replacement Only","Yes, Upto Rs.1,500.00 off",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg3_1?ie=UTF8&adId=A0126097KGNWR93IRQ3L&url=%2FSamsung-Direct-Cool-Refrigerator-RR21T2H2WCB-HL%2Fdp%2FB08445PP98%2Fref%3Dsr_1_44_sspa%3Fcrid%3D1MOS9MN9NX5UF%26keywords%3Drefrigerator%26qid%3D1659372811%26sprefix%3D%252Caps%252C395%26sr%3D8-44-spons%26psc%3D1&qualifier=1659372811&id=7151723078530380&widgetName=sp_mtf
56,Godrej,"Godrej 185 L 4 Star Inverter Direct-Cool Single Door Refrigerator (RD UNO 1854 PTI AQ WN, Aqua Wine, Cool Lock Technology)","14,590",Available," Mon, 8 Aug, 7:00 am - 9:00 pm","10 days, Replacement Only","Yes, Upto Rs.1,500.00 off",https://www.amazon.in/Godrej-Inverter-Direct-Cool-Single-Refrigerator/dp/B08VJ3QWFZ/ref=sr_1_45?crid=1MOS9MN9NX5UF&keywords=refrigerator&qid=1659372811&sprefix=%2Caps%2C395&sr=8-45
57,LG,"LG 190 L 3 Star Direct-Cool Single Door Refrigerator (GL-B201RPZD, Shiny Steel, Moist 'N' Fresh)","14,990",Available," Mon, 8 Aug, 7:00 am - 9:00 pm","10 days, Replacement Only","Yes, Upto Rs.1,500.00 off",https://www.amazon.in/LG-Direct-Cool-Single-Refrigerator-GL-B201RPZD/dp/B084Y86B9Z/ref=sr_1_46?crid=1MOS9MN9NX5UF&keywords=refrigerator&qid=1659372811&sprefix=%2Caps%2C395&sr=8-46
58,Samsung,"Samsung 198 L 5 Star Inverter Direct-Cool Single Door Refrigerator (RR21T2G2WCR/HL, Camellia Purple)","17,600",Available," Wed, 3 Aug, 7:00 am - 9:00 pm","10 days, Replacement Only","Yes, Upto Rs.1,500.00 off",https://www.amazon.in/Samsung-Direct-Cool-Refrigerator-RR21T2G2WCR-HL/dp/B084ZX7XS4/ref=sr_1_47?crid=1MOS9MN9NX5UF&keywords=refrigerator&qid=1659372811&sprefix=%2Caps%2C395&sr=8-47
59,Samsung,"Samsung 275 L 3 Star with Inverter Double Door Refrigerator (RT30T3743S9/HL, Refined Inox, Convertible)","30,040",Available," Wed, 3 Aug, 7:00 am - 9:00 pm","10 days, Replacement Only","Yes, Upto Rs.1,500.00 off",https://www.amazon.in/Samsung-Refrigerator-RT30T3743S9-HL-Convertible/dp/B0834624G1/ref=sr_1_48?crid=1MOS9MN9NX5UF&keywords=refrigerator&qid=1659372811&sprefix=%2Caps%2C395&sr=8-48
60,Tropicool,Tropicool PortaChill Black 5 L Car Refrigerator Chiller Cum Warmer (Black),"3,764",Available," tomorrow, August 2",10 Days Returnable,Not Applicable,https://www.amazon.in/Tropicool-PortaChill-Refrigerator-Chiller-Warmer/dp/B07YQ1DM3L/ref=sr_1_49?crid=1MOS9MN9NX5UF&keywords=refrigerator&qid=1659372811&sprefix=%2Caps%2C395&sr=8-49
61,LG,"LG 270 L 3 Star Inverter Direct Cool Single Door Refrigerator(GL-B281BPZX, Shiny Steel)","21,990",Available," Wed, 3 Aug, 7:00 am - 9:00 pm","10 days, Replacement Only","Yes, Upto Rs.1,500.00 off",https://www.amazon.in/LG-Refrigerator-GL-B281BPZX-DPZZEBN-Inverter-Compressor/dp/B06XG9N37B/ref=sr_1_50?crid=1MOS9MN9NX5UF&keywords=refrigerator&qid=1659372811&sprefix=%2Caps%2C395&sr=8-50
62,Godrej,"Godrej 190 L 3 Star Inverter Direct-Cool Single Door Refrigerator with Jumbo Vegetable Tray (RD 1903 PTI 33 DR BL, Royal Drenim, Inverter Compressor)","14,690",Available," Tue, 9 Aug, 7:00 am - 9:00 pm","10 days, Replacement Only","Yes, Upto Rs.1,500.00 off",https://www.amazon.in/Godrej-Direct-Cool-Refrigerator-1903-PTI/dp/B083SRCK9N/ref=sr_1_51?crid=1MOS9MN9NX5UF&keywords=refrigerator&qid=1659372811&sprefix=%2Caps%2C395&sr=8-51
63,Candy,"Candy 195 L 3 Star Direct Cool Single Door Refrigerator (CSD1953BS, Brushline Silver)","12,490",Available," Tue, 9 Aug, 7:00 am - 9:00 pm","10 days, Replacement Only","Yes, Upto Rs.1,500.00 off",https://www.amazon.in/Candy-Direct-Refrigerator-CSD1953BS-Brushline/dp/B09TY9DXJZ/ref=sr_1_52?crid=1MOS9MN9NX5UF&keywords=refrigerator&qid=1659372811&sprefix=%2Caps%2C395&sr=8-52
64,Samsung,"Samsung 415L 3 Star Frost-Free Digital Inverter Double Door Refrigerator (RT42B553ES8/TL Convertible, Elegant Inox)","45,490",Available," Tue, 9 Aug, 7:00 am - 9:00 pm","10 days, Replacement Only","Yes, Upto Rs.1,500.00 off",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg3_1?ie=UTF8&adId=A010263725ZMO00KIDPL9&url=%2FSamsung-Frost-Free-Refrigerator-RT42B553ES8-Convertible%2Fdp%2FB09ZYKRQLP%2Fref%3Dsr_1_53_sspa%3Fcrid%3D1MOS9MN9NX5UF%26keywords%3Drefrigerator%26qid%3D1659372811%26sprefix%3D%252Caps%252C395%26sr%3D8-53-spons%26psc%3D1&qualifier=1659372811&id=7151723078530380&widgetName=sp_btf
65,Samsung,"Samsung 324L 3 Star Inverter Frost Free Double Door Refrigerator (RT34T4513S8/HL, Elegant Inox, Convertible)","34,790",Available," Wed, 3 Aug, 7:00 am - 9:00 pm","10 days, Replacement Only","Yes, Upto Rs.1,500.00 off",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg3_1?ie=UTF8&adId=A0103037ED8RINUB3I7W&url=%2FSamsung-Refrigerator-RT34T4513S8-HL-Convertible%2Fdp%2FB08345R1ZW%2Fref%3Dsr_1_54_sspa%3Fcrid%3D1MOS9MN9NX5UF%26keywords%3Drefrigerator%26qid%3D1659372811%26sprefix%3D%252Caps%252C395%26sr%3D8-54-spons%26psc%3D1&qualifier=1659372811&id=7151723078530380&widgetName=sp_btf
